num_elements,mean_rejection_score,max_rejection_score,ece,cace,mece,calibration,error,predicted_error
18243,0.117843546,0.14,0.050432657389135556,0.1008652974365287,0.10941762940007879,0.047314607,0.070648275,0.11796288
32464,0.15031572,0.28,0.05511819041380452,0.11031143270333477,0.12814102486118364,0.05073092,0.099595286,0.1503262
37626,0.1777946,0.42,0.05786796597806371,0.11752957297898965,0.1499836096820386,0.052187517,0.12561092,0.17779844
42106,0.21187505,0.56,0.06048908733287651,0.12493361668327377,0.1794160240022045,0.052982718,0.1588905,0.21187322
46290,0.24945863,0.7,0.06255975178545303,0.13329439472039195,0.20985219429821889,0.053199306,0.19625503,0.24945433
48912,0.2773115,0.84,0.06540746481386633,0.14120740972637377,0.22404050862396518,0.053240567,0.2240637,0.27730426
50000,0.29078382,0.99,0.06652825406312943,0.14533282305411035,0.22893022147402167,0.052913755,0.23785764,0.2907714
