num_elements,mean_rejection_score,max_rejection_score,ece,cace,mece,calibration,error,predicted_error,top1_calibration,top1_error,top1_predicted_error
2348,0.020778946240901233,0.1142498578325121,0.010724041287293833,0.019999949165558032,0.019999923352691545,0.008730393,0.019082578,0.02781297,0.009275900872719348,0.005110732538330494,0.014386633
2916,0.05012592990014045,0.2284436240282629,0.02468219918642188,0.04910039100463829,0.05137158503605178,0.02085749,0.043928765,0.064786255,0.02441819496095099,0.010631001371742112,0.035049196
3589,0.09538590231197783,0.3428218466170514,0.03940128262044992,0.07623493830408967,0.0978983368181724,0.028485984,0.09165505,0.12014104,0.036960925986820624,0.033435497353023126,0.07039642
4879,0.17803634272148489,0.45710549924900856,0.05704910048062402,0.09779198977544205,0.17886728450249736,0.030316666,0.1927465,0.22306317,0.04152414735332574,0.10575937692150031,0.14728352
6440,0.2586030288699996,0.5713917288026121,0.06147243843315551,0.10195541926919953,0.267873287645186,0.028419465,0.291567,0.31998646,0.042586932696911106,0.1846273291925466,0.22721426
7608,0.3147403064073635,0.6856620287300885,0.05853296336487766,0.10640411774239075,0.31439051643154975,0.02932471,0.34643808,0.3757628,0.04993278264497983,0.226472134595163,0.27640492
8321,0.35356625022981936,1.1159458449502095,0.060223100517335065,0.1172661905797782,0.3423558157118678,0.031254053,0.37304613,0.40430018,0.05886844163716892,0.24372070664583584,0.30258915
