num_elements,mean_rejection_score,max_rejection_score,ece,cace,mece,calibration,error,predicted_error,top1_calibration,top1_error,top1_predicted_error
476,0.0,0.0,0.0,1.8658310896313424e-08,1.8658310556715793e-08,0.0,0.0,0.0,0.0,0.0,0.0
3514,0.010430529,0.08865172,0.04448292210621799,0.08896581578324451,0.0901543931419631,0.043606002,0.05403653,0.010430529,0.044482890429324004,0.049800796812749,0.0053179064
3913,0.022716628,0.17746925,0.06430201112477639,0.12860399058315725,0.13017876904363557,0.061517067,0.084233694,0.022716628,0.06430200460480434,0.07615640173779709,0.011854397
4237,0.0378586,0.2663827,0.07504878923075363,0.15045865055496535,0.15651401438140802,0.070359215,0.10821781,0.0378586,0.07504874694163095,0.09535048383290064,0.020301737
4605,0.059781343,0.35552174,0.08990074265404452,0.1807980604041024,0.1923281861374096,0.08154459,0.14132594,0.059781343,0.08990070972264007,0.12312703583061889,0.033226326
5056,0.0903104,0.44443214,0.1081149587525597,0.2240944859760377,0.24347249483336,0.094214804,0.1845252,0.0903104,0.1081149355520176,0.1606012658227848,0.05248633
5748,0.13877445,0.5332787,0.12810786843050995,0.26659928017137763,0.3044843170364117,0.10472526,0.24349971,0.13877445,0.12810785265311483,0.21572720946416143,0.08761936
6632,0.1975496,0.6221819,0.13840585796047897,0.3074329087880875,0.36106578752272667,0.110092595,0.3076422,0.1975496,0.13840583448530824,0.2723160434258142,0.13391021
7712,0.26329145,0.7110064,0.14796987856077456,0.3434485211880023,0.4066208387064241,0.11064309,0.37393454,0.26329145,0.14796986211384977,0.3381742738589212,0.19020441
8321,0.29894194,0.82777286,0.147827928706067,0.3507205052205033,0.4291113447847883,0.10718274,0.40612468,0.29894194,0.14748133165971572,0.37110924167768294,0.22362791
