num_elements,mean_rejection_score,max_rejection_score,ece,cace,mece,calibration,error,predicted_error,top1_calibration,top1_error,top1_predicted_error
2252,0.022407975,0.121121585,0.008839473419460479,0.017678875010047113,0.017678804814709653,0.008374314,0.014033661,0.022407975,0.008839404559487453,0.0026642984014209592,0.011503703
2822,0.054810252,0.24273032,0.02347865331096906,0.04695728943009302,0.04695729093928442,0.020528786,0.034281466,0.054810252,0.023478637840849637,0.005669737774627924,0.029148376
3766,0.11831607,0.36378217,0.05292663736287673,0.10585325677590818,0.10585323706134735,0.04089249,0.07742358,0.11831607,0.052926615015091695,0.013542219861922463,0.066468835
4410,0.16304058,0.485286,0.06606683882455977,0.1321336550173474,0.13843982861696186,0.047709823,0.115330756,0.16304058,0.06606681684788122,0.029024943310657598,0.09509176
5342,0.23048054,0.6065657,0.0766376313624066,0.15268281916433954,0.18209345839033408,0.048962012,0.18151852,0.23048054,0.07604518913789797,0.06870086110071134,0.14474605
6962,0.33363327,0.72832036,0.06926989973156454,0.13749948932760633,0.283820203445794,0.037964642,0.29566863,0.33363327,0.06809040645918124,0.16503878195920713,0.23312919
8321,0.40430018,0.8497102,0.060223100517335065,0.1172661905797782,0.3423558157118678,0.031254053,0.37304613,0.40430018,0.05886844163716892,0.24372070664583584,0.30258915
