num_elements,mean_rejection_score,max_rejection_score,ece,cace,mece,calibration,error,predicted_error,top1_calibration,top1_error,top1_predicted_error
2,-4.460344e-08,-2.5660484e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2492,0.00047834124,0.002217114,0.08772070626959946,0.17544141252723983,0.17576243981934284,0.08723917,0.08788122,0.0006420545,0.0873996790135141,0.08788121990369181,0.0004815409
3266,0.0011593349,0.0044442415,0.16582976129255045,0.3320269444769172,0.33386405395881136,0.16469078,0.16772813,0.003037354,0.16582976134145486,0.16809552969993877,0.0022657684
4170,0.002105539,0.0066616535,0.2593285376290909,0.5210551560639762,0.5234532380811602,0.25693044,0.26479614,0.007865706,0.2593285374361262,0.26522781774580334,0.0058992803
5010,0.0030559124,0.008886814,0.3233932160093875,0.6517365308757315,0.6565269456830567,0.318507,0.3346507,0.016143711,0.3233932138534036,0.33552894211576845,0.012135728
5832,0.0040307995,0.011107326,0.37716050010649754,0.7646090617436605,0.7715363517730651,0.36997256,0.39547324,0.025500681,0.3771604947817342,0.3962620027434842,0.019101508
6552,0.0049272464,0.013329744,0.4137057401467301,0.8426739935364043,0.8523809590146073,0.4042979,0.4379731,0.033675212,0.4137057402013131,0.4387973137973138,0.025091574
7115,0.0056715165,0.015551567,0.4355867909949511,0.8910751967156176,0.9029936848772468,0.4246072,0.46642306,0.041815877,0.4355867897556311,0.46676036542515814,0.031173576
7546,0.0062965285,0.01777029,0.45298171428859374,0.9280678560503623,0.9415319437946529,0.43982512,0.48796716,0.048142057,0.4529817141582629,0.48873575404187647,0.03575404
8321,0.007773402,0.04716432,0.4755438142292145,0.978968882172845,0.9942555101770805,0.45776707,0.52087486,0.06310779,0.4755438041381145,0.5220526379040981,0.046508834
