num_elements,mean_rejection_score,max_rejection_score,ece,cace,mece,calibration,error,predicted_error,top1_calibration,top1_error,top1_predicted_error
2046,0.018588064,0.09223431,0.0384266127123045,0.07685326817053988,0.08365834417697388,0.03721983,0.055807892,0.018588064,0.03842664421340296,0.047898338220918865,0.009471694
2560,0.042407464,0.18536043,0.07123134613502771,0.14246261508669705,0.15529848022852094,0.066763,0.10917046,0.042407464,0.07123129032552242,0.093359375,0.022128085
2988,0.069329634,0.27807248,0.09373704943471804,0.18766916222518762,0.20508403150013174,0.08512761,0.15445724,0.069329634,0.09373704024367382,0.13085676037483265,0.03711972
3464,0.10453332,0.37085807,0.12246412052568607,0.24535012091983177,0.2751223423602124,0.106288664,0.21082199,0.10453332,0.12246411514853495,0.1804272517321016,0.057963137
4102,0.15364653,0.46344858,0.16317624966729738,0.3282288614665496,0.3734050479707109,0.13201517,0.2856617,0.15364653,0.16317625893057408,0.2525597269624573,0.08938347
5062,0.22179669,0.55634475,0.1950218267753538,0.4074574696378071,0.47621158374740596,0.14897826,0.37077495,0.22179669,0.1950218155067554,0.3344527854602924,0.13943097
6299,0.2970191,0.64910305,0.21873105671845233,0.4782971376397933,0.565868438775813,0.15644243,0.45346153,0.2970191,0.21873104816903233,0.4191141451023972,0.2003831
7769,0.37230688,0.7417064,0.22859284112560563,0.5208049489964173,0.629329865465816,0.1512962,0.5236031,0.37230688,0.22841197512358186,0.496589007594285,0.26817703
8321,0.39867482,0.8345932,0.22563025602109874,0.5187306207478344,0.6390608819742183,0.14520255,0.54387736,0.39867482,0.2256302607058046,0.520009614229059,0.29437935
