num_elements,mean_rejection_score,max_rejection_score,ece,cace,mece,calibration,error,predicted_error,top1_calibration,top1_error,top1_predicted_error
2492,0.0004783412353057201,0.002217029838448653,0.06056113854457249,0.12223077175860718,0.13931171396331649,0.05536057,0.10474767,0.049387097,0.06015769375808071,0.08747993579454254,0.027322242
3266,0.0011593357677164122,0.004444228122287508,0.10075235323933684,0.20880954739890323,0.24238006275122106,0.0861118,0.19724917,0.111137375,0.1007523807649662,0.1677893447642376,0.067036964
4170,0.0021055398045631054,0.006661728285617841,0.1434541082210678,0.30855410660793486,0.37466313956166913,0.11360817,0.30083886,0.18723069,0.1434540905076251,0.26522781774580334,0.12177373
5010,0.003055913968922593,0.008886869153181376,0.1682911600657328,0.3678889198663705,0.4566718802004755,0.12606233,0.37189862,0.24583629,0.16829113928738704,0.33512974051896205,0.1668386
5832,0.004030799707988662,0.011107386165612132,0.1892229357864631,0.41910134394179177,0.5212613720298631,0.13448066,0.4294292,0.29494855,0.18922292922504647,0.3955761316872428,0.2063532
6552,0.00492724722483029,0.013329837038102754,0.20296713138529088,0.4561227935238971,0.5661892032157516,0.13963875,0.46977735,0.3301386,0.20296712596337874,0.4381868131868132,0.23521969
7115,0.005671517627860046,0.015551619481429357,0.21006354776303365,0.47928439381251603,0.5932720745941827,0.14205149,0.49671695,0.35466546,0.21006354323927984,0.4660576247364722,0.25599408
7546,0.006296529570670183,0.01777023353482421,0.21710765251202133,0.4965453199536722,0.6131870379474477,0.143967,0.51541704,0.37145004,0.2171076569037762,0.4874105486350384,0.2703029
8321,0.0077734025817631286,0.047164418592253954,0.22563025602109874,0.5187306207478344,0.6390608819742183,0.14520255,0.54387736,0.39867482,0.2256302607058046,0.520009614229059,0.29437935
