num_elements,mean_rejection_score,max_rejection_score,ece,cace,mece,calibration,error,predicted_error,top1_calibration,top1_error,top1_predicted_error
76,-1.3487837e-08,-1.9895197e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3830,0.0054130144,0.04434544,0.0712271540501099,0.1424543080963291,0.14245430809632917,0.0711436,0.07122715,8.35509e-05,0.07122715404954189,0.07127937336814621,5.221932e-05
4378,0.012972866,0.08876717,0.11055276294776216,0.22201918649613556,0.22357240759343414,0.109502055,0.113339424,0.0038373685,0.11055276386961835,0.11329374143444496,0.0027409776
4972,0.024811694,0.1332745,0.15510860682492858,0.3131134324495052,0.31689460826131094,0.15101367,0.16737731,0.016363634,0.15510860884192004,0.166733708769107,0.0116251
5688,0.041292146,0.17773342,0.18902954656195875,0.38769340119029916,0.4030942450344311,0.1797187,0.22805907,0.048340358,0.18895921449055147,0.22362869198312235,0.034669477
6477,0.060705442,0.22220579,0.21315425521193307,0.4514435970508998,0.4714528444245106,0.19664659,0.28488496,0.08823837,0.21315424379162057,0.2775976532345222,0.06444341
7144,0.07771169,0.2664399,0.22648375939415125,0.49972004833039896,0.5234602669719085,0.20474246,0.32679173,0.122049265,0.226483761663533,0.3173292273236282,0.090845466
7627,0.09100178,0.31110585,0.23165072577096882,0.5241904032465607,0.5489445600438371,0.2073109,0.35277307,0.14546217,0.23165071773719736,0.34128753113937327,0.10963681
7919,0.099869765,0.35554755,0.234373043083696,0.5392095245282628,0.5647177878677401,0.20864253,0.36827883,0.1596363,0.23437302496577322,0.3557267331733805,0.12135371
8321,0.11537191,0.72077125,0.23439490226380685,0.548251441954893,0.577911330192024,0.20679729,0.38742942,0.18063213,0.23439491727957856,0.37399351039538514,0.1395986
