num_elements,mean_rejection_score,max_rejection_score,ece,cace,mece,calibration,error,predicted_error,top1_calibration,top1_error,top1_predicted_error
476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3514,0.010430529,0.08865172,0.049800796812749,0.09960159362549796,0.099601593625498,0.0498008,0.0498008,0.0,0.049800796812749,0.049800796812749,0.0
3913,0.022716628,0.17746925,0.07615640173779709,0.15231280347559423,0.15231280347559417,0.0761564,0.0761564,0.0,0.07615640173779709,0.07615640173779709,0.0
4237,0.0378586,0.2663827,0.09506726461900752,0.19022893558872012,0.19060656124827488,0.094991736,0.09544489,0.00045315071,0.09506726459252764,0.09535048383290064,0.00028321924
4605,0.059781343,0.35552174,0.11991313888765184,0.2401737256495364,0.24182410435296037,0.119027145,0.12416938,0.005142236,0.11991313801750735,0.12312703583061889,0.0032138978
5056,0.0903104,0.44443214,0.14956487941591046,0.30585443894260944,0.31044304043738336,0.14678797,0.16431962,0.017531643,0.14948576046271791,0.1606012658227848,0.011115505
5748,0.13877445,0.5332787,0.18249827221025589,0.3750870049663443,0.38816981047661503,0.17336118,0.22282533,0.04946415,0.18249826079847586,0.2162491301322199,0.03375087
6632,0.1975496,0.6221819,0.208896278939575,0.4505428502828207,0.4693606937319867,0.19416767,0.28682145,0.09265379,0.20847406973489374,0.2747285886610374,0.06625452
7712,0.26329145,0.7110064,0.22927906899036707,0.5233402767265023,0.5485477385679222,0.20701765,0.35412344,0.1471058,0.2292790540892059,0.33973029045643155,0.11045124
8321,0.29894194,0.82777286,0.23439490226380685,0.548251441954893,0.577911330192024,0.20679729,0.38742942,0.18063213,0.23439491727957856,0.37399351039538514,0.1395986
