num_elements,mean_rejection_score,max_rejection_score,ece,cace,mece,calibration,error,predicted_error,top1_calibration,top1_error,top1_predicted_error
591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4712,0.0078064776,0.07758087,0.050933786078098474,0.10186757215619699,0.10186757215619695,0.050933786,0.050933786,0.0,0.050933786078098474,0.050933786078098474,0.0
5188,0.017585108,0.15539819,0.06804163454124904,0.13608326908249804,0.13608326908249807,0.06804164,0.06804164,0.0,0.06804163454124904,0.06804163454124904,0.0
5545,0.028895011,0.23313099,0.08530207394048693,0.1706041478809739,0.17060414788097386,0.08530208,0.08530208,0.0,0.08530207394048693,0.08530207394048693,0.0
5860,0.042075526,0.3108009,0.10354948808715612,0.20784982939222163,0.20819112634089212,0.103494875,0.1043686,0.00087372,0.10354948808548736,0.10409556313993173,0.00054607505
6157,0.05708628,0.38881373,0.12005847077759245,0.24011694062582867,0.2427805745918216,0.11939581,0.122722104,0.0033262945,0.12005847024034623,0.12213740458015267,0.0020789343
6504,0.07690687,0.46660835,0.1345941008676902,0.2706027123504313,0.27736777252303424,0.13333333,0.14286593,0.009532594,0.13459409633880484,0.14083640836408365,0.006242312
7026,0.109028354,0.54434824,0.1526615458813414,0.3106746398466047,0.32650157206509145,0.14805011,0.17560491,0.027554793,0.1526615441125443,0.17207514944491886,0.019413605
7525,0.14050286,0.6216222,0.16664452232791735,0.34291030322594507,0.365820610515303,0.15798537,0.20595348,0.0479681,0.1666445193600615,0.20146179401993355,0.034817275
8321,0.19329329,0.82945096,0.1857228768160532,0.39274126443492163,0.4290830559232547,0.17088331,0.2579017,0.087018386,0.1857228763101551,0.25201297920922966,0.0662901
