num_elements,mean_rejection_score,max_rejection_score,ece,cace,mece,calibration,error,predicted_error
35715,0.035096176,0.08,0.04820383626523846,0.09638527211990403,0.10172756553138486,0.046809465,0.05395492,0.007145456
41981,0.04836807,0.17,0.0638574613304608,0.12755293957840277,0.14588504363117505,0.060544543,0.08276602,0.022221478
44892,0.059016522,0.25,0.06723247865596833,0.13459860402030188,0.1643678166999899,0.063236214,0.10016038,0.03692417
47243,0.070860654,0.34,0.0676417727198182,0.13944924168308107,0.17883707716938976,0.0640442,0.116796136,0.052751936
48602,0.07958171,0.42,0.06698901757483257,0.1455084263087595,0.18639562271137128,0.063808076,0.12739393,0.063585855
49413,0.08587658,0.51,0.06664643574168218,0.15028435560434686,0.1920790085755051,0.063796975,0.13489567,0.07109869
50000,0.09191039,1.02,0.0656760039138794,0.15388001341760152,0.19618400095999242,0.06349362,0.14093201,0.07743839
