num_elements,mean_rejection_score,max_rejection_score,ece,cace,mece,calibration,error,predicted_error,top1_calibration,top1_error,top1_predicted_error
2046,0.018588064,0.09223431,0.047898338220918865,0.09579667644183769,0.09579667644183773,0.047898337,0.047898337,0.0,0.047898338220918865,0.047898338220918865,0.0
2560,0.042407464,0.18536043,0.093359375,0.18671875000000002,0.18671875,0.09335937,0.09335937,0.0,0.093359375,0.093359375,0.0
2988,0.069329634,0.27807248,0.13085676037483265,0.26171352074966525,0.2617135207496653,0.13085677,0.13085677,0.0,0.13085676037483265,0.13085676037483265,0.0
3464,0.10453332,0.37085807,0.1804272517321016,0.3608545034642032,0.3608545034642032,0.18042725,0.18042725,0.0,0.1804272517321016,0.1804272517321016,0.0
4102,0.15364653,0.46344858,0.2525597269624573,0.5051194539249146,0.5051194539249146,0.25255972,0.25255972,0.0,0.2525597269624573,0.2525597269624573,0.0
5062,0.22179669,0.55634475,0.3298301071293596,0.661477676911794,0.6640063216685307,0.32817066,0.33512443,0.0069537726,0.32983010690913184,0.3348478862109838,0.0050177793
6299,0.2970191,0.64910305,0.4033973682946791,0.8175900966321727,0.8236863015710144,0.3982537,0.42009845,0.021844734,0.40339736587315167,0.4195904111763772,0.016193045
7769,0.37230688,0.7417064,0.46250482611497223,0.9462736537441474,0.9580126190940482,0.44864464,0.49756727,0.048922636,0.46250482859881875,0.4985197580126142,0.03601493
8321,0.39867482,0.8345932,0.4755438142292145,0.978968882172845,0.9942555101770805,0.45776707,0.52087486,0.06310779,0.4755438041381145,0.5220526379040981,0.046508834
