num_elements,mean_rejection_score,max_rejection_score,ece,cace,mece,calibration,error,predicted_error
35715,0.035096176,0.08,0.04876870528566525,0.10551703861573415,0.1581958718861783,0.045635834,0.13541703,0.18105286
41981,0.04836807,0.17,0.05154267096513223,0.1164538878471781,0.1884931649353678,0.047541186,0.17363589,0.22117707
44892,0.059016522,0.25,0.05589338477724516,0.12502350820859115,0.204122131170741,0.049523205,0.19462831,0.24415152
47243,0.070860654,0.34,0.06037977367927831,0.13269498924062756,0.2150351256941166,0.051154807,0.21300022,0.26415503
48602,0.07958171,0.42,0.06297149871740855,0.13831632566639254,0.22132117159149245,0.052160323,0.2242114,0.27637172
49413,0.08587658,0.51,0.06455834284676587,0.14176598927792639,0.2253523823610023,0.05255854,0.23187444,0.28443298
50000,0.09191039,1.02,0.06652825406312943,0.14533282305411035,0.22893022147402167,0.052913755,0.23785764,0.2907714
