num_elements,mean_rejection_score,max_rejection_score,ece,cace,mece,calibration,error,predicted_error,top1_calibration,top1_error,top1_predicted_error
143,-2.0937675e-08,-4.2302872e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5038,0.002360046,0.02220732,0.0628026994910208,0.12560539897316833,0.12592298530985696,0.062707424,0.0629615,0.00025406905,0.06272330290673889,0.0629217943628424,0.00019849146
5659,0.005619215,0.044401586,0.09266654896133673,0.18533309776468265,0.1871001944038046,0.092306055,0.09411556,0.0018095066,0.09266654897592208,0.09400954232196501,0.0013429933
6161,0.009691573,0.066527694,0.118779418927434,0.2376886866049534,0.24158415888360404,0.1170784,0.12416816,0.0070897574,0.11877941924336717,0.12400584320727155,0.005226424
6606,0.014249534,0.088847935,0.1395398162185803,0.2805328536513643,0.28779897177684965,0.13613684,0.15213442,0.015997577,0.13953981247580832,0.15122615803814715,0.011686346
6987,0.018909821,0.11110592,0.15626162924410977,0.3156719628694284,0.3243738388800222,0.15040503,0.17747244,0.027067408,0.1562616285176595,0.17604121940747103,0.01977959
7340,0.023875747,0.13332832,0.16768393282669442,0.34201635880756115,0.3549863812059408,0.15902454,0.19986376,0.04083923,0.16768392656678563,0.19782016348773843,0.030136237
7613,0.028200427,0.15553236,0.17320373652408208,0.35476159820822206,0.3714173233776827,0.16281098,0.21465912,0.05184815,0.17320373167919842,0.21161171680021015,0.038407985
7837,0.032141756,0.17770451,0.17641955150912364,0.3651907639995101,0.3873931517995893,0.16519588,0.22774021,0.06254433,0.17641954895793913,0.22317213219344137,0.046752583
8321,0.043275844,0.38121557,0.1857228768160532,0.39274126443492163,0.4290830559232547,0.17088331,0.2579017,0.087018386,0.1857228763101551,0.25201297920922966,0.0662901
